Weight;Word;Color [hex];URL
141;,;;
81;;;
73;.;;
61;a;;
52;i;;
48;‘;;
31;in;;
31;said;;
28;it;;
22;?;;
21;page;;
20;13566_10_wtp_col_pback_ins;;
20;05.11.2003;;
20;pm;;
19;christopher;;
19;robin;;
19;pooh;;
16;which;;
15;n;;
14;e;;
14;04:15;;
13;this;;
13;was;;
11;s;;
11;h;;
11;by;;
11;winnie-the-pooh;;
11;but;;
10;one;;
10;chapter;;
9;!;;
9;are;;
9;piglet;;
9;w;;
9;d;;
8;when;;
8;just;;
8;name;;
7;then;;
7;because;;
6;time;;
6;some;;
6;:;;
6;can;;
6;buzzing-noise;;
6;without;;
6;04:14;;
6;–;;
6;another;;
6;like;;
5;e-p;;
5;think;;
5;good;;
5;get;;
5;e-t;;
5;bear;;
5;1;;
5;know;;
5;c;;
5;thought;;
5;r;;
5;got;;
5;balloon;;
5;honey;;
5;climbed;;
5;say;;
5;winnie;;
4;something;;
4;book;;
4;sometimes;;
4;once;;
4;h.;;
4;swan;;
4;shepard;;
4;forest;;
4;egmont;;
4;could;;
4;party;;
4;first;;
4;him;;
4;little;;
4;branch;;
4;e.;;
4;bears;;
4;they;;
4;);;
4;(;;
4;thing;;
4;making;;
4;go;;
4;ro;;
4;oh;;
4;way;;
4;long;;
4;comes;;
4;bees;;
4;u;;
3;5;;
3;last;;
3;goes;;
3;round;;
3;3;;
3;published;;
3;7;;
3;means;;
3;6;;
3;limited;;
3;story;;
3;2;;
3;illustrations;;
3;see;;
3;sort;;
3;likes;;
3;wonder;;
3;begin;;
3;lived;;
3;introduced;;
3;books;;
3;condition;;
3;balloons;;
3;come;;
3;zoo;;
3;green;;
3;10;;
3;song;;
3;4;;
3;cage;;
3;going;;
3;funny;;
3;buzz;;
3;place;;
3;stories;;
3;voice;;
3;downstairs;;
3;behind;;
3;bump;;
3;would;;
3;began;;
3;tree;;
3;called;;
3;”;;
3;feet;;
3;reason;;
3;coming;;
3;quickly;;
2;remember;;
2;more;;
2;not;;
2;great;;
2;want;;
2;bee;;
2;slips;;
2;help;;
2;good-bye;;
2;yes;;
2;six;;
2;whether;;
2;buzzing;;
2;door;;
2;three;;
2;two;;
2;love;;
2;middle;;
2;day;;
2;asked;;
2;well;;
2;stairs;;
2;head;;
2;left;;
2;sang;;
2;climb;;
2;part;;
2;its;;
2;8;;
2;9;;
2;put;;
2;next;;
2;bottom;;
2;it.;;
2;copyright;;
2;really;;
2;call;;
2;perhaps;;
2;sweetly;;
2;stop;;
2;feels;;
2;people;;
2;london;;
2;your;;
2;us;;
2;you.;;
2;blue;;
2;where;;
2;sure;;
2;came;;
2;friend;;
2;rather;;
2;went;;
2;gorse-bush;;
2;gets;;
2;larger;;
2;ago;;
2;explained;;
2;pinker;;
2;ten;;
2;course;;
2;morning;;
2;nearly;;
2;big;;
2;introduction;;
2;seven;;
2;looked;;
2;eeyore;;
2;edward;;
2;otherwise;;
2;winnie-ther-pooh;;
2;meant;;
2;far;;
2;britain;;
2;quite;;
2;suppose;;
2;hand;;
1;isbn;;
1;trees;;
1;saying;;
1;kanga;;
1;four;;
1;beginning;;
1;convention;;
1;iii;;
1;build;;
1;&;;
1;shouldn;;
